homeTeamAbbr,roof,surface,lat,long
HOU,retractable,turf,29.684723,-95.410835
SEA,no,turf,47.5952,-122.3316
BUF,no,turf,42.774,-78.787
PIT,no,grass,40.446667,-80.01583
ARI,retractable,grass,33.528,-112.263
LA,yes,turf,33.953,-118.339
MIA,no,grass,25.958055,-80.23889
BAL,no,grass,39.278057,-76.62278
CLE,no,grass,41.50611,-81.69945
DEN,no,grass,39.74389,-105.02
DET,yes,turf,42.34,-83.045555
SF,no,grass,37.403,-121.97
LV,yes,grass,36.090557,-115.18389
KC,no,grass,39.04889,-94.48389
NE,no,turf,42.091,-71.264
NO,yes,turf,29.950832,-90.08111
TEN,no,turf,36.16639,-86.771385
LAC,yes,turf,33.953,-118.339
CIN,no,turf,39.095,-84.516
NYG,no,turf,40.8,-74.066666
JAX,no,grass,30.323889,-81.6375
TB,no,grass,27.975834,-82.503334
ATL,retractable,turf,33.755554,-84.4
MIN,yes,turf,44.974,-93.258
DAL,retractable,turf,32.747776,-97.09278
CAR,no,turf,35.225834,-80.852776
GB,no,grass,44.50139,-88.062225
CHI,no,grass,41.8623,-87.6167
NYJ,no,turf,40.8,-74.066666
PHI,no,grass,36.900833,-75.1675
IND,retractable,turf,39.75,-86.15
WAS,no,grass,38.907776,-76.86444
